Link,Total Call Duration,Total Effective Talk Duration,Total Effective Talk Percent,Talk Duration (Mono Right),Talk Duration (Mono Left),Talk Percent (Mono Right),Talk Percent (Mono Left),Overlaps Count (Total),Overlaps Count (Mono Right),Overlaps Count (Mono Left),Overlaps Duration (Total),Overlaps Duration (Mono Right),Overlaps Duration (Mono Left),Overlaps Percent (Total),Overlaps Percent (Mono Right),Overlaps Percent (Mono Left),Overall Emotion (Total),Overall Emotion (Mono Right),Overall Emotion (Mono Left)
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e108231e92d84eec86875230aa3117bf.mp3,0.57 Minutes,0.41 Minutes,72.60%,0.02 Minutes,0.39 Minutes,4.87 %,95.13 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,fear,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,1.26 Minutes,1.1 Minutes,87.15%,0.43 Minutes,0.83 Minutes,33.87 %,66.13 %,8 Times,6 Times,2 Times,0.16 Minutes,0.12 Minutes,0.04 Minutes,14.44 %,10.56 %,3.88 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/8ab4694fb546ada1b2d9fc1b353517bh.mp3,1.96 Minutes,1.83 Minutes,93.38%,0.94 Minutes,1.19 Minutes,44.06 %,55.94 %,13 Times,8 Times,5 Times,0.3 Minutes,0.2 Minutes,0.1 Minutes,16.41 %,10.68 %,5.73 %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/8fd5c9fe312d58e001a49ea58d2917bf.mp3,7.88 Minutes,6.27 Minutes,79.61%,1.62 Minutes,5.18 Minutes,23.8 %,76.2 %,24 Times,16 Times,8 Times,0.52 Minutes,0.37 Minutes,0.15 Minutes,8.31 %,5.85 %,2.46 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/c1d03517550f3d81dd57e0811c1d17bk.mp3,0.89 Minutes,0.82 Minutes,92.61%,0.45 Minutes,0.52 Minutes,46.45 %,53.55 %,4 Times,3 Times,1 Times,0.15 Minutes,0.11 Minutes,0.04 Minutes,18.57 %,13.52 %,5.04 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/b9bd7d5ad4dbe51eb10bc435970817b3.mp3,0.58 Minutes,0.49 Minutes,84.07%,0.08 Minutes,0.42 Minutes,15.2 %,84.8 %,1 Times,0 Times,1 Times,0.01 Minutes,0.0 Minutes,0.01 Minutes,1.61 %,0.00 %,1.61 %,surprise,surprise,fear
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/008715a984c72f9486e3b812e7bc17b2.mp3,0.93 Minutes,0.86 Minutes,92.11%,0.6 Minutes,0.63 Minutes,48.74 %,51.26 %,9 Times,3 Times,6 Times,0.37 Minutes,0.18 Minutes,0.19 Minutes,43.23 %,20.58 %,22.65 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/bb9f98bf9ae244e856f77dddcb3017b3.mp3,1.07 Minutes,0.86 Minutes,80.96%,0.29 Minutes,0.73 Minutes,28.44 %,71.56 %,3 Times,3 Times,0 Times,0.16 Minutes,0.16 Minutes,0.0 Minutes,18.56 %,18.56 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/3868e0108bdd63119a2dd82c65e017b6.mp3,1.11 Minutes,0.91 Minutes,81.65%,0.36 Minutes,0.57 Minutes,38.91 %,61.09 %,3 Times,3 Times,0 Times,0.03 Minutes,0.03 Minutes,0.0 Minutes,3.03 %,3.03 %,0.00 %,surprise,surprise,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e57c1890047c47096d03edbdc87d17ba.mp3,0.61 Minutes,0.48 Minutes,79.54%,0.14 Minutes,0.45 Minutes,23.71 %,76.29 %,2 Times,2 Times,0 Times,0.1 Minutes,0.1 Minutes,0.0 Minutes,21.35 %,21.35 %,0.00 %,surprise,fear,angry
